DEPART_NORMAL__HDDS_FROM_XN__BASE_OF_65_F,COLDEST_WIND_CHILL__F,NORMAL_GROWING_DEGREE_DAYS_XN__BASE_OF_50_F,DEPART_NORMAL__EDDS_FROM_XN__BASE_OF_65_F,COLDEST_WINDCHILL_TEMP__F,MINIMUM_FEELS_LIKE_TEMP__F,AVG_HEAT_INDEX_TEMP_ALL_HOURS__F,AVG_DAILY_TEMP_ALL_HOURS__F,LOWEST_WET_BULB_TEMP__F,NORMAL_AVG_DAILY_WET_BULB_TEMP_ALL_HOURS__F,AVG_DAILY_TEMP_ALL_HOURS__F
4.0,54.0,17.6,4.3,53.2,53.2,59.5,59.7,49.6,55.4,59.7
2.9,51.1,18.0,3.1,51.1,51.1,60.1,60.4,48.6,55.6,60.4
0.0,45.0,18.0,0.0,45.0,45.0,65.3,65.3,44.1,55.6,65.3
0.0,53.1,18.0,0.0,53.1,53.1,70.9,70.9,50.9,55.6,70.9
0.0,57.9,19.1,0.0,57.9,57.9,73.2,73.4,55.8,55.9,73.4
0.0,61.0,19.1,0.0,59.9,59.9,69.1,69.1,57.0,56.1,69.1
0.0,60.1,19.1,0.0,60.1,60.1,66.7,66.6,56.1,56.1,66.6
0.0,62.1,19.4,0.0,62.1,62.1,68.4,68.0,57.0,56.3,68.0
0.0,57.0,19.4,0.0,57.0,57.0,68.0,68.5,53.2,56.3,68.5
0.0,54.0,19.4,0.0,52.9,52.9,67.1,67.1,51.8,56.5,67.1
0.0,55.0,20.5,0.0,55.0,55.0,71.2,71.2,52.9,56.8,71.2
0.0,57.0,20.5,0.0,57.0,57.0,75.4,75.6,55.4,57.0,75.6
0.0,60.1,20.5,0.0,60.1,60.1,76.1,75.9,55.6,57.2,75.9
0.0,61.0,20.5,0.0,61.0,61.0,76.8,76.3,58.6,57.2,76.3
0.0,63.0,21.1,0.0,63.0,63.0,77.2,76.8,59.0,57.6,76.8
0.0,57.9,21.1,0.0,56.7,56.7,72.9,73.0,54.7,57.6,73.0
0.0,57.0,21.1,0.0,56.7,56.7,68.9,69.1,54.3,57.7,69.1
0.0,55.9,21.1,0.0,55.9,55.9,72.1,72.3,54.3,57.9,72.3
0.0,55.9,21.1,0.0,55.9,55.9,74.1,74.1,53.8,58.1,74.1
0.0,55.9,21.6,0.0,55.9,55.9,73.4,73.6,51.8,58.3,73.6
0.0,59.0,21.6,0.0,58.8,58.8,75.7,76.1,54.1,58.6,76.1
0.0,59.0,22.0,0.0,59.0,59.0,78.8,79.0,54.7,58.8,79.0
0.0,61.0,22.0,0.0,61.0,61.0,78.3,78.4,55.4,59.2,78.4
0.0,59.0,22.0,0.0,59.0,59.0,76.8,76.8,54.1,59.2,76.8
0.0,64.0,22.0,0.0,64.0,64.0,76.8,76.8,59.0,59.4,76.8
0.0,60.1,22.0,0.0,60.1,60.1,78.6,78.3,56.1,59.4,78.3
0.0,66.0,22.0,0.0,66.0,66.0,83.3,83.1,60.8,59.5,83.1
0.0,68.0,22.0,0.0,68.0,68.0,83.5,82.9,62.6,59.7,82.9
0.0,71.1,22.0,0.0,71.1,71.1,81.9,81.3,62.4,59.9,81.3
0.0,66.0,22.0,0.0,66.0,66.0,78.3,78.3,59.4,59.9,78.3
0.0,62.1,22.0,0.0,62.1,62.1,81.3,81.0,56.5,59.9,81.0
0.0,69.1,22.0,0.0,69.1,69.1,87.6,87.4,63.7,59.7,87.4
0.0,69.1,22.0,0.0,69.1,69.1,85.1,85.3,61.2,59.5,85.3
0.0,66.0,22.0,0.0,66.0,66.0,83.5,83.7,56.7,59.4,83.7
0.0,64.0,21.6,0.0,64.0,64.0,77.7,77.9,56.7,59.2,77.9
0.0,59.0,21.6,0.0,59.0,59.0,74.5,74.5,55.8,59.2,74.5
0.0,62.1,21.6,0.0,62.1,62.1,73.4,73.6,56.5,59.0,73.6
0.0,55.9,21.6,0.0,55.9,55.9,73.9,73.9,53.4,58.8,73.9
0.0,61.0,21.6,0.0,61.0,61.0,79.0,79.0,55.6,58.8,79.0
0.0,64.0,21.6,0.0,64.0,64.0,82.0,82.2,57.9,58.6,82.2
0.0,64.9,21.6,0.0,64.9,64.9,85.6,85.5,60.3,58.6,85.5
0.0,66.9,21.6,0.0,66.9,66.9,81.5,81.3,61.7,58.6,81.3
0.0,61.7,21.6,0.0,61.7,61.7,73.4,73.6,56.5,58.6,73.6
0.0,55.9,21.6,0.0,55.9,55.9,70.9,71.1,53.4,58.6,71.1
0.0,55.9,21.1,0.0,55.9,55.9,74.3,74.1,51.3,58.5,74.1
0.0,60.1,20.5,0.0,60.1,60.1,75.4,75.2,54.7,58.3,75.2
0.0,60.1,20.5,0.0,60.1,60.1,75.9,76.1,55.6,58.3,76.1
0.0,59.0,20.5,0.0,59.0,59.0,76.6,76.6,53.6,58.1,76.6
0.0,63.0,20.5,0.0,63.0,63.0,80.6,80.6,57.4,58.1,80.6
0.0,66.9,20.5,0.0,66.9,66.9,84.4,84.2,60.6,58.1,84.2
0.0,66.9,20.5,0.0,66.9,66.9,82.2,81.9,61.2,57.7,81.9
0.0,63.0,20.5,0.0,63.0,63.0,73.4,73.4,57.2,57.6,73.4
0.0,57.0,19.4,0.0,57.0,57.0,68.0,68.4,50.5,57.2,68.4
0.0,51.1,19.4,0.0,51.1,51.1,65.7,65.8,48.0,57.0,65.8
0.0,50.0,19.4,0.0,49.5,49.5,66.0,66.2,47.1,57.0,66.2
0.0,52.0,19.4,0.0,50.0,50.0,69.4,69.4,48.0,56.8,69.4
0.0,57.0,19.4,0.0,57.0,57.0,70.5,70.5,52.3,56.8,70.5
0.0,55.9,19.4,0.0,55.9,55.9,70.7,70.7,53.4,56.7,70.7
0.0,57.0,18.5,0.0,57.0,57.0,70.9,70.9,53.2,56.3,70.9
0.0,59.0,18.5,0.0,58.8,58.8,67.8,68.0,54.7,56.3,68.0
0.0,52.0,18.5,0.0,52.0,52.0,68.7,68.7,50.4,56.3,68.7
0.0,54.0,18.5,0.0,54.0,54.0,70.0,70.3,51.3,56.3,70.3
0.0,51.1,18.5,0.0,51.1,51.1,70.0,70.0,47.7,56.3,70.0
0.0,55.9,18.0,0.0,55.9,55.9,75.2,75.4,52.3,55.9,75.4
0.0,59.0,17.5,0.0,59.0,59.0,77.5,77.7,53.6,55.8,77.7
0.0,59.0,17.5,0.0,59.0,59.0,75.9,76.1,53.6,55.8,76.1
0.0,59.0,17.5,0.0,59.0,59.0,76.5,76.8,54.7,55.8,76.8
0.0,59.0,17.5,0.0,59.0,59.0,78.4,78.8,54.7,55.8,78.8
0.0,59.0,16.6,0.0,59.0,59.0,80.8,81.1,53.6,55.4,81.1
0.0,62.1,16.6,0.0,62.1,62.1,80.8,80.8,56.5,55.2,80.8
0.0,62.1,16.6,0.0,62.1,62.1,80.1,80.1,57.6,55.0,80.1
0.0,61.0,16.6,0.0,61.0,61.0,78.3,78.4,56.7,54.9,78.4
0.0,59.0,16.0,0.0,59.0,59.0,77.2,77.4,54.7,54.5,77.4
0.0,57.9,15.5,0.0,57.6,57.6,75.0,75.4,51.3,54.3,75.4
0.0,62.1,15.5,0.0,62.1,62.1,71.2,71.2,54.1,54.3,71.2
0.0,55.9,15.5,0.0,55.9,55.9,64.4,64.2,53.4,54.1,64.2
3.1,50.0,14.9,3.2,50.0,50.0,61.3,61.7,45.7,53.8,61.7
5.4,45.0,14.9,5.6,45.0,45.0,60.1,60.3,41.9,53.6,60.3
-0.5,48.9,14.4,-0.5,48.9,48.9,65.8,65.8,45.7,53.2,65.8
-0.5,51.1,14.4,-0.5,51.1,51.1,69.8,70.0,48.9,53.2,70.0
-0.9,53.1,14.0,-0.9,53.1,53.1,71.8,72.0,50.5,52.9,72.0
-0.9,55.0,14.0,-0.9,55.0,55.0,73.6,73.8,52.3,52.9,73.8
-1.4,59.0,13.5,-1.4,59.0,59.0,75.0,75.4,54.7,52.5,75.4
-2.0,55.0,13.0,-2.0,55.0,55.0,70.2,70.3,49.6,52.3,70.3
-1.1,51.1,13.0,-1.3,51.1,51.1,63.5,63.5,47.7,52.2,63.5
2.9,52.0,13.0,3.1,51.8,51.8,58.8,59.0,48.6,52.2,59.0
0.0,52.0,12.6,0.0,50.5,50.5,59.7,60.1,48.6,51.8,60.1
1.6,45.0,12.1,1.6,42.3,42.3,59.0,59.2,43.7,51.6,59.2
-0.9,45.0,12.1,-0.9,45.0,45.0,61.3,61.9,43.7,51.8,61.9
-3.4,48.0,11.5,-3.6,45.9,45.9,63.7,64.0,44.2,51.6,64.0
-3.4,48.9,11.5,-3.4,48.9,48.9,64.4,64.9,46.0,51.6,64.9
-3.8,46.9,11.2,-4.0,46.9,46.9,64.6,64.6,44.6,51.4,64.6
0.4,52.0,10.4,0.4,50.5,50.5,60.1,60.4,49.1,51.3,60.4
1.4,45.0,10.4,1.4,45.0,45.0,58.8,59.0,44.1,51.3,59.0
-2.9,44.1,10.1,-2.9,40.6,40.6,61.7,61.9,42.6,51.1,61.9
-4.9,48.9,10.1,-5.0,48.9,48.9,64.4,64.6,47.5,51.1,64.6
-5.6,51.1,9.4,-5.8,51.1,51.1,65.8,66.0,48.6,50.5,66.0
-5.9,46.9,9.0,-6.1,46.9,46.9,64.6,64.8,45.1,50.4,64.8
-4.0,51.1,9.0,-4.1,51.1,51.1,61.3,61.3,47.1,50.2,61.3
4.1,46.9,8.6,4.3,46.9,46.9,54.3,54.5,46.0,50.0,54.5
3.6,48.0,8.6,3.8,46.9,46.9,53.1,53.2,44.2,50.0,53.2
2.0,45.0,7.9,2.0,45.0,45.0,53.8,54.1,42.6,49.6,54.1
0.4,39.9,7.9,0.4,38.3,38.3,55.8,56.1,38.7,49.5,56.1
-4.0,41.0,7.0,-4.0,39.9,39.9,59.2,59.5,39.7,48.9,59.5
-2.5,43.0,7.0,-2.5,41.2,41.2,58.5,58.6,40.8,48.7,58.6
2.5,43.0,6.5,2.7,43.0,43.0,54.9,55.2,42.1,48.6,55.2
6.8,39.0,6.5,7.0,39.0,39.0,48.2,48.2,38.1,48.4,48.2
3.1,44.1,6.1,3.2,43.5,43.5,51.6,51.8,38.3,48.2,51.8
1.6,45.0,6.1,1.6,42.3,42.3,52.7,52.9,36.5,47.8,52.9
0.5,42.1,5.0,0.5,42.1,42.1,55.0,55.2,35.4,47.3,55.2
-0.4,50.0,5.0,-0.4,50.0,50.0,54.5,54.7,49.5,47.3,54.7
