DEPART_NORMAL__HDDS_FROM_XN__BASE_OF_65_F,COLDEST_WIND_CHILL__F,NORMAL_GROWING_DEGREE_DAYS_XN__BASE_OF_50_F,DEPART_NORMAL__EDDS_FROM_XN__BASE_OF_65_F,COLDEST_WINDCHILL_TEMP__F,MINIMUM_FEELS_LIKE_TEMP__F,AVG_HEAT_INDEX_TEMP_ALL_HOURS__F,AVG_DAILY_TEMP_ALL_HOURS__F,LOWEST_WET_BULB_TEMP__F,NORMAL_AVG_DAILY_WET_BULB_TEMP_ALL_HOURS__F,AVG_DAILY_TEMP_ALL_HOURS__F
8.5,28.0,0.0,8.6,23.5,23.5,37.9,38.1,27.0,41.0,38.1
9.4,28.9,0.0,9.7,28.9,28.9,39.0,39.0,27.0,41.0,39.0
4.5,36.0,0.0,4.5,33.1,33.1,42.6,43.0,35.2,41.2,43.0
1.4,34.0,0.0,1.4,29.5,29.5,44.2,44.4,33.6,41.2,44.4
8.5,30.9,0.0,8.6,30.9,30.9,40.8,40.8,30.2,41.2,40.8
-3.1,35.1,0.0,-3.1,35.1,35.1,51.4,51.6,34.3,41.2,51.6
-5.9,45.0,0.0,-6.1,41.7,41.7,52.0,52.2,43.7,41.2,52.2
-7.9,46.0,0.0,-8.3,45.9,45.9,54.3,54.5,45.1,41.4,54.5
-4.0,39.0,0.0,-4.1,39.0,39.0,53.2,53.2,38.5,41.5,53.2
-7.6,51.1,0.0,-7.7,49.5,49.5,54.7,54.7,50.0,41.5,54.7
-4.5,44.1,0.0,-4.7,43.5,43.5,52.7,53.1,41.4,41.5,53.1
1.1,36.0,0.0,1.3,34.5,34.5,47.1,47.5,34.9,41.7,47.5
-1.4,34.0,0.0,-1.4,34.0,34.0,49.5,49.8,32.5,42.1,49.8
-4.3,36.0,0.0,-4.5,36.0,36.0,53.6,53.8,34.3,42.1,53.8
-6.3,41.0,0.0,-6.5,41.0,41.0,55.8,55.9,39.2,42.3,55.9
-7.9,48.0,0.0,-8.6,45.3,45.3,55.6,55.8,46.0,42.3,55.8
-5.8,50.0,0.0,-6.1,47.1,47.1,53.2,53.4,49.5,42.3,53.4
-1.4,43.0,0.0,-1.6,43.0,43.0,52.5,52.9,43.0,42.4,52.9
1.1,43.0,0.0,1.1,41.2,41.2,48.6,48.7,43.0,42.4,48.7
-2.0,44.1,0.0,-2.2,40.1,40.1,50.4,50.7,41.4,42.4,50.7
4.0,41.0,0.0,4.1,36.9,36.9,45.1,45.1,38.8,42.4,45.1
9.0,35.1,0.0,9.4,33.1,33.1,39.9,40.1,33.8,42.4,40.1
10.4,34.0,0.0,11.3,27.3,27.3,39.2,39.4,31.3,42.4,39.4
9.5,30.0,1.1,10.1,26.2,26.2,41.5,41.7,28.6,42.8,41.7
10.1,28.9,1.1,10.6,28.9,28.9,39.7,39.7,28.2,43.0,39.7
7.6,36.0,1.1,7.7,32.2,32.2,43.0,43.0,35.2,43.0,43.0
4.0,43.0,1.1,4.1,41.2,41.2,46.6,46.8,40.8,43.0,46.8
5.6,39.9,1.1,5.8,35.6,35.6,45.0,45.1,39.0,43.2,45.1
4.3,39.9,1.4,4.5,35.1,35.1,45.9,46.0,38.7,43.5,46.0
2.5,41.0,1.4,2.7,38.3,38.3,46.2,46.4,40.1,43.5,46.4
5.0,41.0,1.4,5.2,37.6,37.6,44.6,44.6,40.1,43.5,44.6
5.0,39.0,1.4,5.4,37.6,37.6,46.0,46.2,38.5,43.7,46.2
6.5,36.0,1.4,6.8,31.6,31.6,44.4,44.8,34.9,43.9,44.8
7.0,36.0,2.0,7.2,31.6,31.6,44.2,44.2,34.9,44.2,44.2
2.0,43.0,2.5,2.2,39.9,39.9,47.8,48.0,42.1,44.4,48.0
6.1,37.9,2.5,6.5,36.3,36.3,45.7,46.0,37.0,44.6,46.0
8.6,37.9,2.5,9.0,34.0,34.0,42.3,42.4,35.1,44.6,42.4
11.2,34.0,2.5,11.7,30.7,30.7,40.5,40.6,33.3,44.6,40.6
10.4,36.0,2.5,10.8,31.6,31.6,41.4,41.5,34.3,44.6,41.5
10.4,32.0,2.9,10.8,32.0,32.0,43.0,43.0,31.3,44.8,43.0
6.8,37.0,2.9,7.2,33.1,33.1,45.3,45.7,35.1,45.0,45.7
5.4,32.0,2.9,5.6,32.0,32.0,47.3,47.5,31.3,45.0,47.5
2.0,36.0,3.4,2.0,35.2,35.2,52.3,52.5,34.9,45.3,52.5
-1.6,45.0,3.4,-1.6,45.0,45.0,55.4,55.6,42.3,45.3,55.6
-5.6,46.9,3.4,-5.8,43.5,43.5,57.0,57.6,44.6,45.3,57.6
-4.5,41.0,4.0,-4.7,41.0,41.0,57.9,58.1,40.1,45.5,58.1
-7.0,45.0,4.0,-7.2,45.0,45.0,60.8,61.0,43.7,45.5,61.0
-6.1,46.9,4.0,-6.3,46.9,46.9,58.1,58.3,45.5,45.7,58.3
2.5,46.0,4.0,2.7,43.9,43.9,50.5,50.7,43.7,45.9,50.7
3.4,43.0,4.0,3.8,42.3,42.3,48.9,49.1,40.3,45.9,49.1
4.0,37.0,4.0,4.1,32.2,32.2,50.0,50.4,36.5,46.0,50.4
0.0,37.9,5.0,0.0,37.9,37.9,54.7,55.0,37.0,46.6,55.0
-7.6,45.0,5.0,-7.7,45.0,45.0,61.7,61.9,43.7,46.6,61.9
-9.9,48.9,5.0,-10.1,48.9,48.9,65.8,66.2,46.9,46.6,66.2
-9.9,50.0,5.0,-10.3,50.0,50.0,67.5,67.6,47.5,46.6,67.6
-9.9,50.0,5.0,-10.4,48.2,48.2,66.2,66.4,47.1,46.6,66.4
-7.6,48.9,5.4,-8.5,48.9,48.9,62.6,62.8,46.6,46.9,62.8
-2.5,48.0,5.4,-2.7,48.0,48.0,55.4,55.8,46.6,46.9,55.8
-2.5,44.1,6.1,-2.7,42.3,42.3,58.1,58.1,43.5,47.3,58.1
0.0,51.1,6.1,0.0,48.0,48.0,55.0,55.2,50.5,47.1,55.2
-5.0,51.1,6.1,-5.2,48.0,48.0,59.5,59.9,50.5,47.1,59.9
-3.1,50.0,6.5,-3.2,48.2,48.2,60.1,60.1,48.9,47.3,60.1
-8.5,55.0,6.5,-8.8,55.0,55.0,63.1,63.1,50.9,47.3,63.1
5.0,46.9,6.5,5.4,44.8,44.8,52.2,52.3,43.7,47.5,52.3
6.1,45.0,6.5,6.5,41.7,41.7,49.5,49.5,42.3,47.7,49.5
4.0,46.9,6.5,4.1,45.9,45.9,51.4,51.6,44.2,47.7,51.6
8.1,45.0,7.6,8.5,41.2,41.2,49.3,49.5,43.7,48.2,49.5
8.1,45.0,7.6,8.5,41.7,41.7,47.8,48.0,43.2,48.2,48.0
7.0,45.0,7.6,7.4,45.0,45.0,50.2,50.2,43.7,48.2,50.2
6.5,46.0,7.6,6.8,43.5,43.5,50.0,50.0,42.8,48.4,50.0
9.0,42.1,7.6,9.4,38.3,38.3,47.3,47.5,40.6,48.6,47.5
9.9,41.0,7.9,10.4,36.9,36.9,46.4,46.4,39.7,48.9,46.4
8.1,42.1,8.6,8.5,36.7,36.7,48.9,49.1,40.3,49.5,49.1
4.1,39.9,8.6,4.3,36.3,36.3,54.5,54.7,39.6,49.5,54.7
5.6,46.0,8.6,5.8,40.5,40.5,51.1,51.3,44.6,49.5,51.3
11.5,43.0,9.0,12.4,36.7,36.7,46.4,46.6,41.2,49.6,46.6
5.9,45.0,9.0,6.1,45.0,45.0,51.6,52.0,43.7,49.8,52.0
4.0,39.9,9.0,4.1,39.9,39.9,55.9,56.1,39.0,50.0,56.1
0.7,50.0,9.4,0.7,49.5,49.5,57.6,57.9,48.9,50.4,57.9
8.1,46.0,10.1,8.5,41.5,41.5,51.6,51.8,43.2,50.5,51.8
11.5,41.0,10.1,12.1,38.8,38.8,46.9,47.1,40.5,50.5,47.1
11.2,41.0,10.1,11.7,36.9,36.9,46.4,46.4,40.5,50.7,46.4
6.5,45.0,10.1,6.7,41.7,41.7,52.2,52.3,43.2,50.7,52.3
